Country,Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Adjusted savings: carbon dioxide damage (current US$),Adjusted savings: energy depletion (current US$),Adjusted savings: mineral depletion (current US$),Agricultural land (% of land area),Agricultural land (sq. km),Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),"Birth rate, crude (per 1,000 people)",Capture fisheries production (metric tons),Crop production index (2004-2006 = 100),DEC alternative conversion factor (LCU per US$),"Death rate, crude (per 1,000 people)",Export unit value index (2000 = 100),Export value index (2000 = 100),Export volume index (2000 = 100),"Fertility rate, total (births per woman)",Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),Food production index (2004-2006 = 100),"Foreign direct investment, net inflows (BoP, current US$)",Forest area (% of land area),Forest area (sq. km),Forest rents (% of GDP),GDP (constant 2010 US$),GDP (constant LCU),GDP (current LCU),GDP (current US$),GDP deflator (base year varies by country),GDP deflator: linked series (base year varies by country),GDP growth (annual %),GDP per capita (constant 2010 US$),GDP per capita (constant LCU),GDP per capita (current LCU),GDP per capita (current US$),GDP per capita growth (annual %),GDP: linked series (current LCU),Import unit value index (2000 = 100),Import value index (2000 = 100),Import volume index (2000 = 100),"Incidence of tuberculosis (per 100,000 people)",Individuals using the Internet (% of population),"Inflation, GDP deflator (annual %)","Inflation, GDP deflator: linked series (annual %)",International migrant stock (% of population),"International migrant stock, total",Land area (sq. km),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Livestock production index (2004-2006 = 100),Lower secondary school starting age (years),Merchandise exports (current US$),Merchandise exports by the reporting economy (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise imports (current US$),Merchandise imports by the reporting economy (current US$),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Mineral rents (% of GDP),Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Net barter terms of trade index (2000 = 100),People practicing open defecation (% of population),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Population density (people per sq. km of land area),Population growth (annual %),"Population, total","Preprimary education, duration (years)","Primary education, duration (years)",Primary school starting age (years),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Rural population,Rural population (% of total population),Rural population growth (annual %),"Secondary education, duration (years)",Secure Internet servers,Secure Internet servers (per 1 million people),Surface area (sq. km),Total fisheries production (metric tons),Total natural resources rents (% of GDP),"Tuberculosis case detection rate (%, all forms)",Urban population,Urban population (% of total population),Urban population growth (annual %),Happiness Score
Afghanistan,71.5,64.57335356,92.5,354155260.4,9141180.702,810771.8422,58.06757957,379100,11.89382103,0.225637519,7765000,34.809,1000,137.04,61.4231,6.929,233.8049381,416.1362445,177.9843693,4.976,7067,0.020535484,110000,0.319641044,119,169146608,2.067824648,13500,0.305673339,19759744157,482175000000,1222760000000,19907111419,253.5920513,253.5920513,1.451314655,574.1841143,14011.16339,35531.19664,578.4663529,-1.622886672,1222760000000,151.6484386,656.7642887,433.0834494,189,8.26,2.447563008,2.447563008,1.175546927,382365,652860,64.877,61.965,63.377,98.9,13,571000000,581610314,0.001370849,7.64561493,7.589281163,2.007628255,9.195824027,0.953462459,71.54860153,0.451572116,20.86074646,7723000000,7750711594,0.069468667,4.368978718,13.85397428,19.21245435,23.15648147,0.197111127,19.11652603,1.004843414,66.96003102,0.005308333,19709038,57.27106807,154.1756317,14.18329477,61.54692971,40.70770701,52.7120715,3.077083595,34413603,1,6,7,86.05011125,18.42347717,25877997,75.197,2.79024919,6,74,2.15031248,652860,2150,0.479032522,55,8535606,24.803,3.951762191,3.575
Albania,100,100,100,177206578.2,105117880.7,16755315.98,42.85766602,11743.00049,22.44890422,0.21352426,615099.9756,12.197,7877.5,173.61,125.9608,7.367,138.7723843,737.9677907,531.7828863,1.677,242870,8.402314745,226718,7.843521202,145.71,989578334.8,28.15693431,7715,0.190017519,13033412636,1354650000000,1434310000000,11386927679,105.8805415,105.8805415,2.21875146,4524.386108,470248.4081,497901.5608,3952.829458,2.516852212,1434310000000,149.9349024,396.0615998,264.1557059,17,63.2529327,0.563959684,0.563959684,1.98903641,57616,27400,80.107,76.066,78.025,111.72,11,1930000000,2015813368,0.502056696,1.50004601,73.13563356,2.657789151,22.50675197,0.023477769,0.074116633,0.033131391,3.855557773,4320000000,4364943194,0.431456337,1.629159988,64.70606105,9.556330895,21.38481232,1.402880021,1.044014847,0.09409355,13.47767029,0.250959189,3400955,117.6592183,92.55509033,0,91.00102238,97.69103397,105.135146,-0.291205787,2880703,3,5,6,100,38.61521047,1226200,42.566,-2.638588443,7,197,68.38608492,28750,9472.5,1.813210471,87,1654503,57.434,1.484764333,4.959
Algeria,99.94306946,99.81789451,99.9945755,4604936512,16577722766,8894662.318,17.40592946,414563.9844,3.13304563,0.187829627,7462100.098,25.481,95946,152.18,100.6914,4.715,215.1818127,157.358029,73.12794097,3.043,2269348,5.712209454,3267592,8.224904208,151,-537792920.9,0.821248331,19560,0.208785062,189795000000,5776490000000,16712600000000,165978000000,289.3211363,289.3211363,3.7,4777.347657,145400.8285,420675.3293,4177.867517,1.6004783,16712600000000,114.2704723,563.7553157,493.3516982,75,38.2,-6.455599671,-6.455599671,0.611072023,242391,2381740,77.306,74.917,76.09,149.14,11,34668000000,34563343367,0.061627788,6.038152206,79.1808168,3.317261518,5.308422885,5.023352876,0.879290304,0.247933717,14.7762613,51702000000,49725081623,0.004740505,4.95302467,65.59901822,17.76926975,7.567446301,3.460124776,2.253548719,0.676827108,31.72721666,0.069321957,43227643,108.8089403,188.3092004,0.798122127,93.47459642,87.49671674,16.68025267,2.045387243,39728025,1,5,6,0.322683799,0.058958684,11581514,29.152,-0.08260619,7,152,3.826014507,2381740,97278.99,16.24918902,80,28146511,70.848,2.93432016,5.605
Angola,42,3.815066052,64,1059179366,9287311832,0,47.47734018,591900,3.930376193,0.175725615,4900000,42.52,495232,193.89,120.0607,9.052,182.7511745,418.900773,229.219196,5.774,153571,0.550742009,284925,1.021808589,181.06,10028215163,46.40731531,578560,0.423461273,104520000000,1631040000000,13950300000000,116194000000,855.2987645,855.2987645,0.943575613,3748.320623,58493.06915,500290.4977,4166.979684,-2.468715169,13950300000000,132.8182248,680.675561,512.4865673,366,12.4,-3.51839026,-3.51839026,0.42700468,106845,1246700,62.237,56.737,59.398,139.12,12,33181000000,32731420134,3.01E-05,2.013554702,41.5714593,45.8073219,0.139649562,0.003970588,8.176571719,4.296329967,54.13218064,20693000000,16770135537,0.08570852,4.141735828,60.07344595,21.79747089,1.836662467,5.75592837,2.485926742,6.949307091,32.89153844,0,13884532,49.79322295,137.5949534,22.53427,54.3169269,47.37447934,22.3665525,3.438850684,27884381,1,6,6,53.17492831,49.56821033,10192857,36.554,1.501724221,6,227,8.140758082,1246700,496104,10.80362831,58,17691524,63.446,4.572191581,4.033
Argentina,99.82357788,98.16961713,99.97716522,6264904889,4693622696,1278703552,54.33571212,1487000,14.323873,0.908838702,39200000,17.548,814300,143.54,10.0118,7.638,184.7056264,215.5726814,116.711486,2.301,6855837,15.91589272,10073125,23.38485831,129.02,11758994011,9.906858285,271120,0.083532852,455825000000,721487000000,5954510000000,594749000000,825.3107382,825.3107382,2.731159828,10568.15781,16727.43474,138053.3152,13789.06042,1.629664279,5954510000000,126.4497926,239.3456309,189.2811574,26,68.04306411,26.5799916,26.5799916,4.805292335,2086302,2736690,79.434,72.614,76.068,110.15,12,56784000000,56672272438,1.902268887,7.142998203,37.06088379,16.943156,1.938971408,27.99254501,4.744787026,2.206409977,61.03684732,60205000000,59747968165,0.93080309,0.772183027,41.86773004,22.87381383,1.666296399,29.31942062,1.335414719,1.925704146,57.20146687,0.298614293,61842011,143.566834,146.0703277,,99.07013378,94.23485077,15.76063274,1.078001344,43131966,3,6,6,28.14006912,10.04007761,3664923,8.497,-0.393992379,6,5317,123.2728413,2780400,817962.7,1.336709999,87,39467043,91.503,1.215797063,6.574
Armenia,100,100,100,171745715.3,0,213700481.4,58.89357047,16766.99951,15.69020064,0.152689086,446700.0122,14.795,8140,145.32,477.9183,9.823,175.8005469,504.8714776,287.1842475,1.738,286319,9.786833464,551366,18.84655653,150.35,184127986.3,11.66139796,3320,0.262722067,11479040584,4712020000000,5043630000000,10553337673,107.0375085,107.0375085,3.199999999,3923.716502,1610643.904,1723993.105,3607.296697,2.736128724,5043630000000,147.6745882,367.3022644,248.7240825,50,59.10237771,1.213909905,1.213909905,6.335892888,191199,28470,77.708,70.921,74.467,144.37,10,1485000000,1486885931,0.775527615,11.65251499,37.66879398,11.43351514,33.57637507,0.439244253,0.048112837,0.030518615,27.97930334,3239000000,3253955791,0.540576674,1.943613591,33.98241076,11.83317134,41.80637149,2.449822958,2.040446376,0.788366857,23.67064107,3.750479855,3464490,118.4217138,119.0459029,0,99.73441282,93.06060679,102.75915,0.450500903,2925553,3,4,6,28.33696628,15.79200384,1079968,36.915,0.523699205,8,224,76.56672089,29740,23270,4.013201922,80,1845585,63.085,0.407692803,4.35
Australia,100,100,100,10925696222,9853109214,18342650845,47.63065749,3659130,6.004191453,1.936765606,46126000,12.9,160495.7,110.24,1.2019,6.6,191.1381842,293.9419391,153.7850432,1.814,6828000,28.53023892,8500000,35.51655402,109.72,45051418215,16.23875662,1247510,0.118838322,1311780000000,1708150000000,1624600000000,1351690000000,95.10874624,95.10874624,2.192640028,55079.89212,71722.84845,68214.70193,56755.72171,0.732399751,1624600000000,128.9761718,291.8976579,226.3190586,6,84.56051935,-0.549652212,-0.549652212,28.21840969,6763663,7682300,84.5,80.4,82.4,105.98,12,187742000000,188468000000,3.103331645,3.877031536,48.23290525,40.86857826,0.543074314,0.760457235,4.908513315,1.030073799,48.6637631,208791000000,212947000000,3.007294191,1.513303278,54.45383867,37.15364445,0.536944521,1.37544984,2.286385435,1.113670314,42.53886714,3.841681326,25770000,107.6778349,148.1965091,0,99.97000363,99.99115238,3.100112596,1.439216653,23815995,1,7,5,13.63784109,9.18050296,3405449,14.299,0.749250647,6,108937,4574.110802,7741220,251486,5.235128569,87,20410546,85.701,1.554800599,7.284
Austria,100,100,100,1740600774,188632966,6434844.583,32.94172553,27184.49951,16.31181619,0.155749954,1346099.976,9.8,350,85.55,0.901658962,9.6,148.3636469,226.1189055,152.4085652,1.49,2455500,28.2935384,3609900,41.59513105,98.35,-7972751913,46.88390014,38690,0.068426533,413029000000,344269000000,344269000000,381818000000,100,100,1.014501586,47789.38502,39833.53233,39833.53233,44178.04738,-0.11154019,344269000000,139.7348249,216.0837347,154.6384266,7.5,83.94014193,2.300978667,2.300978667,17.46572625,1492374,82522.99805,83.7,78.8,81.1902439,107.18,10,152728000000,152728000000,0.071861103,2.190675329,86.17738776,3.215012163,6.741365386,1.403485153,0.70613668,0.712107909,13.75075114,156046000000,156046000000,0.000282579,1.214777792,86.48676403,5.808244716,5.625162301,0.432794131,0.480561632,0.276638026,13.51295339,0.009479497,13470623,155.2154711,106.1751407,0,100.0000028,99.97670878,104.7307927,1.120992502,8642699,3,4,6,76.49077927,34.39499175,3654565,42.285,0.675020793,8,26636,3081.907631,83879.00391,3853.4,0.133716552,87,4988134,57.715,1.44900148,7.2
Azerbaijan,100,100,100,1062669664,4759844383,47506599.05,57.7017519,47697.99805,23.44095904,0.200811636,1937699.951,17.2,568,120.98,1.0246,5.7,181.3465883,950.8481375,524.3264549,1.94,1899456,19.73923241,1796027,18.66439358,145.33,4047630000,13.78367651,11394.00024,0.014407924,58510999630,29615560000,54380100000,53074468085,183.6200295,183.6200295,1.050750982,6063.730117,3069.179543,5635.628381,5500.320497,-0.145834454,54380100000,155.7316174,786.4078498,504.9763581,71,77,-8.810534907,-8.810534907,2.709061584,264241,82662.99805,74.956,69.543,72.266,178.35,10,16592000000,11003314004,0.007301418,4.423918929,72.24893689,7.3185788,11.39126557,0.003361714,4.353428402,0.009460732,16.35249611,9217000000,9195698073,0.000438205,0.986317703,53.83935027,7.00447197,35.43754244,1.989923794,0.579904914,0.04801916,10.72266909,0.12346633,10697132,111.1650782,116.4481506,0.157562476,90.03168621,92.45606505,116.7310795,1.191209858,9649341,3,4,6,7.039857421,2.310757686,4369801,45.286,0.548505861,7,321,33.26652048,86600,1129,14.61490254,80,5279540,54.714,1.726309145,5.212
Bahrain,100,100,100,979255462.2,1361918588,0,11.05398463,86.00000381,2.05655522,0.001166307,1600.000024,15.096,15000,103.88,0.376,2.346,181.871008,267.0218073,146.8193366,2.056,253041,18.44522474,280115,20.41876268,201.56,64893617.02,0.771208227,6.000000238,0.00090883,30778484043,11572710000,11703330000,31125877660,101.1286898,101.1286898,2.863047304,22435.73394,8435.835962,8531.050384,22688.96379,0.180519551,11703330000,144.1721043,228.7892379,158.6917518,15,93.47830114,-9.369182507,-9.369182507,51.12678501,704137,778.0000305,77.848,75.936,76.762,361.31,12,16540000000,16512216446,0.000747362,61.47796159,80.36539705,5.061324897,0.812259756,0.648988259,1.801424812,3.2293881,19.63385559,10600000000,16437343395,0.831377357,38.67230976,75.20969278,13.47517588,1.663730449,3.010729369,3.924392656,0.760485426,23.95892986,0,2519055,183.6245336,126.1485423,0,100,100,1763.304558,2.642471156,1371851,3,6,6,0,0,150917,11.001,1.881528713,6,450,328.0239618,778.0000305,15006,5.109602012,,1220934,88.999,2.736932975,5.96
