Country,Individuals using the Internet (% of population),"Life expectancy at birth, female (years)",GDP per capita (constant LCU),Urban population,GDP per capita (constant 2010 US$),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Fixed broadband subscriptions,"Birth rate, crude (per 1,000 people)",Access to electricity (% of population),"Fertility rate, total (births per woman)","Incidence of tuberculosis (per 100,000 people)",Urban population (% of total population),Urban population growth (annual %),Happiness Score
Afghanistan,8.26,64.877,14011.16339,8535606,574.1841143,61.54692971,40.70770701,7067,34.809,71.5,4.976,189,24.803,3.951762191,3.575
Albania,63.2529327,80.107,470248.4081,1654503,4524.386108,91.00102238,97.69103397,242870,12.197,100,1.677,17,57.434,1.484764333,4.959
Algeria,38.2,77.306,145400.8285,28146511,4777.347657,93.47459642,87.49671674,2269348,25.481,99.94306946,3.043,75,70.848,2.93432016,5.605
Angola,12.4,62.237,58493.06915,17691524,3748.320623,54.3169269,47.37447934,153571,42.52,42,5.774,366,63.446,4.572191581,4.033
Argentina,68.04306411,79.434,16727.43474,39467043,10568.15781,99.07013378,94.23485077,6855837,17.548,99.82357788,2.301,26,91.503,1.215797063,6.574
Armenia,59.10237771,77.708,1610643.904,1845585,3923.716502,99.73441282,93.06060679,286319,14.795,100,1.738,50,63.085,0.407692803,4.35
Australia,84.56051935,84.5,71722.84845,20410546,55079.89212,99.97000363,99.99115238,6828000,12.9,100,1.814,6,85.701,1.554800599,7.284
Austria,83.94014193,83.7,39833.53233,4988134,47789.38502,100.0000028,99.97670878,2455500,9.8,100,1.49,7.5,57.715,1.44900148,7.2
Azerbaijan,77,74.956,3069.179543,5279540,6063.730117,90.03168621,92.45606505,1899456,17.2,100,1.94,71,54.714,1.726309145,5.212
Bahrain,93.47830114,77.848,8435.835962,1220934,22435.73394,100,100,253041,15.096,100,2.056,15,88.999,2.736932975,5.96
Bangladesh,14.4,73.316,52789.07325,53608403,1002.388853,96.82151436,45.74216109,4892940,19.156,73.17420197,2.12,221,34.308,3.396172612,4.694
Belarus,62.23036091,78.9,8166.129167,7324181,6545.780527,96.46444341,97.76497652,2903497,12.5,100,1.724,50,77.181,0.793590772,5.813
Belgium,85.0529,83.4,36960.63116,11034732,45503.35199,100.0000005,99.48606169,4121049,10.8,100,1.7,9.5,97.876,0.623385919,6.937
Benin,11.25498791,62.082,372406.191,4832681,828.6430585,66.06565133,16.01174081,73263,37.432,40.16017151,5.047,60,45.695,3.936139031,3.34
Bhutan,39.8,70.668,81504.5832,281528,2844.322902,96.81250418,67.28510633,27874,17.783,95.64605713,2.037,165,38.678,3.203565302,5.253
Bolivia,35.56227065,73.105,3915.423658,7434134,2361.056581,91.4968327,56.90997987,180951,22.821,91.522822,2.886,117,68.393,2.020096686,5.89
Bosnia and Herzegovina,52.6,79.292,8336.553661,1617732,5356.300064,96.15984409,95.312937,634987,8.655,100,1.296,40,47.173,-0.817919142,4.949
Botswana,37.31205037,70.013,40591.29087,1424167,7613.69841,88.44628464,74.76206577,36845,26.44,58.35322952,2.968,356,67.155,2.704181161,4.332
Brazil,58.32795173,78.698,20109.66934,175375436,11431.14446,97.60591521,86.55409175,25482478,14.472,99.710902,1.753,43,85.77,1.163497385,6.983
Bulgaria,56.6563,78.2,11245.30527,5310996,7611.550878,99.18851806,85.98294162,1614541,9.2,100,1.53,28,73.99,-0.178845947,4.218
Burkina Faso,14,60.525,241680.9115,4985855,645.3698606,48.66045692,18.82599308,9354,39.437,21.78934479,5.436,52,27.53,5.128152432,3.587
Burundi,4.866224464,61.893,169498.7067,1227128,228.4325442,59.5814674,45.87571014,3639,40.883,8.470917702,5.697,122,12.078,5.689115878,2.905
Cambodia,6.43319107,70.61,2770959.679,3443896,1024.621365,75.38110581,53.38575143,83504,23.674,69.03035736,2.593,367,22.188,3.372448243,3.819
Cameroon,20.68014766,58.908,619050.5704,12715783,1440.3788,60.20856564,38.85571305,20447,36.964,58.81427383,4.777,212,54.578,3.790923593,4.252
Canada,90,84,55620.87548,29011826,50279.58584,99.38903384,99.36312098,13115376,10.7,100,1.563,5.2,81.259,0.796807975,7.427
Central African Republic,3.8,52.793,145052.6021,1809714,346.3559074,46.22808195,25.18311162,1858,36.454,24.23072624,4.941,540,40.277,1.440047771,3.678
Chad,3.5,54.552,398515.5526,3177086,955.7273254,39.00699264,8.840377126,11337,43.73,7.7,6.049,144,22.515,3.85922088,3.667
Chile,76.63,82.25,7988300.654,15698027,14722.36633,99.6008876,99.63102854,2719439,13.369,99.714844,1.75,16,87.36,1.24302726,6.67
China,50.3,78.288,50027.92404,761027100,6484.435948,91.73491778,81.6754051,277046000,12.07,100,1.665,65,55.5,2.769551135,5.14
Colombia,55.90497251,79.346,16933516.53,37904385,7572.365505,96.68084657,87.54582739,5525763,15.515,98.186898,1.863,31,79.764,1.605747272,6.477
Comoros,7.459161386,65.195,474400.07,221333,1352.343112,80.13200287,35.81526768,1600,33.328,74.91381073,4.419,35,28.47,2.811911403,3.956
Costa Rica,59.76295014,82.184,5289095.061,3726119,9219.389701,99.52898279,97.27143763,558656,14.762,99.409804,1.806,11,76.862,2.292429256,7.226
Croatia,69.8031,80.4,80810.68055,2360534,14111.66496,99.58684009,96.48719979,986215,8.9,100,1.4,13,56.155,-0.410081982,5.759
Cyprus,71.7159,82.539,21044.98952,777233,27874.15831,99.61306765,99.25604513,260640,11.011,100,1.354,6.2,66.946,0.625316227,5.689
Czech Republic,75.6688387,81.6,435782.03,7748928,21381.70308,99.88009269,99.13537863,2946626,10.5,100,1.57,5.5,73.477,0.323237456,6.505
Denmark,96.3305,82.7,358293.7095,4974525,60402.12925,99.99999678,99.59722761,2404962,10.2,100,1.71,6.5,87.526,0.839047238,7.527
Djibouti,11.92243143,66.086,457903.58,707586,,75.57727296,61.09122736,24165,22.921,57.5490799,2.912,367,77.417,1.820923613,4.369
Dominican Republic,54.21576634,76.525,203613.4896,8077905,6661.866514,96.11691571,83.18475915,686107,20.32,98.560364,2.405,55,78.566,2.286567096,4.885
Ecuador,48.94043379,79.021,4328.558502,10278096,5330.539154,93.05377968,86.09979746,1487592,20.432,98.825883,2.499,39,63.398,1.834215513,5.975
El Salvador,26.80260496,76.949,3657.635803,4408611,3314.799828,96.0303446,87.01041669,353001,18.734,95.4,2.101,48,69.7,1.667521645,6.13
Estonia,88.4097035,82.2,15799.07588,899949,17623.03153,99.7105368,99.13277561,384129,10.6,100,1.58,18,68.416,0.280631504,5.429
Ethiopia,13.85517556,66.926,14210.50635,19590313,482.6390663,38.98173339,6.86379406,478000,33.635,29,4.565,192,19.428,4.994291304,4.512
Finland,86.42213333,84.4,38601.11385,4669930,45655.22325,100.0000011,99.4478672,1729897,10.1,100,1.65,5.6,85.225,0.388059711,7.406
France,78.01,85.6,33012.77788,53044946,41765.24403,100.000003,98.65159917,26867000,12,100,1.96,8.4,79.655,0.745428418,6.575
Gabon,45.78453653,66.713,2745337.011,1716262,9512.009052,85.47480184,47.31676563,11082,32.927,89.92650604,4.064,537,88.118,3.866454253,3.896
Georgia,47.56975964,77.402,7457.126739,2140097,4183.990764,97.91408496,90.49064298,662862,14.078,99.99448395,2.05,99,57.448,0.822919001,4.297
Germany,87.58979935,83.1,37093.83904,63062064,45321.40295,100,99.22485351,30707429,9,100,1.5,8,77.2,0.878656939,6.75
Ghana,25,63.747,4668.143457,15062521,1624.769623,79.41981927,17.14613673,73132,30.714,75.85002136,4.041,160,54.086,3.509700802,4.633
Greece,66.835,83.7,16381.13598,8445266,22615.39458,100.0000022,98.97597163,3439034,8.5,100,1.33,4.7,78.046,-0.217128484,4.857
Guatemala,28.80594156,76.262,14809.26919,8121501,3069.003247,93.2481165,64.97704481,459847,25.627,90.56504059,3.029,26,49.971,2.722928131,6.123
Guinea,8.2,59.993,4297248.277,4017350,750.470659,62.30216551,21.06094929,1000,37.583,31.61816406,4.933,177,35.141,3.361430457,3.656
Haiti,12.1977,64.632,1460.982604,5607352,729.1196659,64.56748508,32.50172758,1348,25.581,40.91052628,3.098,194,52.427,3.272305557,4.518
Honduras,27.1,76.829,20860.10669,5027140,2067.290034,93.7373063,79.21901154,197379,22.433,89.98171,2.581,40,55.165,2.928602031,4.788
Hungary,72.8347,79,3533994.214,6939335,14745.48996,99.97052678,97.99545475,2718794,9.4,100,1.45,10,70.5,0.150141441,4.8
Iceland,98.2,83.8,6916312.638,309974,47405.04317,99.99999769,98.78311465,124436,12.5,100,1.8,2.4,93.7,1.077160783,7.561
India,17,69.835,86779.92812,429428653,1751.664434,91.04228455,54.34514918,16942750,18.625,88,2.295,217,32.777,2.322890672,4.565
Indonesia,21.97606771,72.992,34764315.77,137751865,3824.274885,87.95873345,69.37641292,3983000,19.165,97.53736744,2.389,325,53.313,2.547356187,5.399
Iraq,58,71.993,5075124.879,24872481,5298.103912,94.68707657,90.74158978,,31.109,99.90605164,3.972,43,69.921,3.549616205,4.677
Ireland,83.49479167,83.4,55898.72853,2940510,65432.73444,97.37212799,91.04727904,1309467,13.9,100,1.85,7.3,62.538,1.261963534,6.94
Israel,77.35208966,84.1,139058.44,7724692,33071.41213,100.0000015,100.0000015,2173000,21.3,100,3.09,4,92.179,2.062684956,7.278
Italy,58.14173496,84.9,27257.35446,42247229,33961.43619,99.44225397,98.77134583,14900171,8,100,1.35,6.6,69.565,0.325701454,5.948
Jamaica,42.22122119,75.687,295750.5324,1585234,4722.046521,90.46776599,86.94518239,228890,16.633,97.45888519,2.026,4.5,54.833,1.006158876,5.709
